[-0.94352606691811, -0.05197573589684128]
[-0.9424348230053045, -0.05244554890334994]
[-0.9413325183595338, -0.05291474638768091]
[-0.9402191281061985, -0.053383320717628864]
[-0.9390946270352784, -0.05385126419914778]
[-0.937958989597804, -0.05431856907527832]
[-0.9368121899022605, -0.054785227525056546]
[-0.9356542017109218, -0.05525123166240356]
[-0.9344849984361168, -0.0557165735349956]
[-0.9333045531364225, -0.056181245123114114]
[-0.9321128385127847, -0.05664523833847529]
[-0.930909826904566, -0.05710854502303862]
[-0.9296954902855151, -0.05757115694779391]
[-0.9284698002596607, -0.05803306581152629]
[-0.9272327280571268, -0.058494263239558635]
[-0.9259842445298652, -0.05895474078247079]
[-0.9247243201473078, -0.05941448991479522]
[-0.9234529249919339, -0.059873502033688235]
[-0.9221700287547512, -0.06033176845757638]
[-0.9208756007306897, -0.060789280424777416]
[-0.9195696098139063, -0.06124602909209495]
[-0.9182520244929964, -0.06170200553338643]
[-0.9169228128461138, -0.06215720073810366]
[-0.9155819425359928, -0.06261160560980505]
[-0.9142293808048756, -0.06306521096463918]
[-0.9128650944693366, -0.06351800752979851]
[-0.911489049915007, -0.06396998594194299]
[-0.9101012130911933, -0.06442113674559236]
[-0.9087015495053906, -0.06487145039148663]
[-0.9072900242176859, -0.06532091723491376]
[-0.9058666018350491, -0.06576952753400378]
[-0.9044312465055117, -0.06621727144798836]
[-0.902983921912227, -0.06666413903542523]
[-0.9015245912674118, -0.06711012025238601]
[-0.9000532173061655, -0.06755520495060718]
[-0.8985697622801626, -0.06799938287560249]
[-0.8970741879512204, -0.06844264366473637]
[-0.8955664555847328, -0.06888497684525698]
[-0.8940465259429708, -0.06932637183228799]
[-0.8925143592782455, -0.06976681792677797]
[-0.8909699153259305, -0.070206304313406]
[-0.8894131532973406, -0.07064482005844279]
[-0.8878440318724615, -0.07108235410756564]
[-0.8862625091925304, -0.07151889528362626]
[-0.8846685428524591, -0.07195443228437018]
[-0.8830620898931013, -0.0723889536801062]
[-0.8814431067933544, -0.07282244791132468]
[-0.8798115494620965, -0.07325490328626323]
[-0.878167373229952, -0.0736863079784183]
[-0.8765105328408818, -0.07411665002400128]
[-0.8748409824435938, -0.07454591731933721]
[-0.873158675582769, -0.07497409761820505]
[-0.8714635651901006, -0.07540117852911725]
[-0.869755603575136, -0.0758271475125373]
[-0.8680347424159232, -0.07625199187803347]
[-0.8663009327494505, -0.07667569878136656]
[-0.8645541249618797, -0.0770982552215102]
[-0.862794268778562, -0.0775196480376016]
[-0.8610213132538352, -0.07793986390582033]
[-0.8592352067605937, -0.07835888933619373]
[-0.8574358969796261, -0.07877671066932637]
[-0.8556233308887142, -0.07919331407305115]
[-0.8537974547514887, -0.07960868553900018]
[-0.8519582141060293, -0.0800228108790927]
