[1.9502705442264527, 0.09916184974240426]
[1.9497680772502417, 0.0996490509807368]
[1.9492630242380724, 0.10013612005145694]
[1.948755383954062, 0.10062305621064901]
[1.9482451551551034, 0.10110985871302007]
[1.9477323365908492, 0.10159652681189067]
[1.9472169270036925, 0.10208305975918563]
[1.946698925128751, 0.10256945680542476]
[1.946178329693847, 0.10305571719971345]
[1.9456551394194896, 0.10354184018973335]
[1.9451293530188583, 0.10402782502173294]
[1.944600969197783, 0.10451367094051808]
[1.9440699866547255, 0.10499937718944244]
[1.9435364040807617, 0.10548494301039803]
[1.9430002201595629, 0.10597036764380556]
[1.9424614335673758, 0.10645565032860481]
[1.9419200429730044, 0.10694079030224503]
[1.9413760470377919, 0.10742578680067506]
[1.9408294444155985, 0.10791063905833366]
[1.9402802337527847, 0.10839534630813977]
[1.9397284136881914, 0.10887990778148252]
[1.9391739828531187, 0.10936432270821138]
[1.9386169398713078, 0.10984859031662621]
[1.9380572833589207, 0.11033270983346723]
[1.937495011924519, 0.1108166804839051]
[1.936930124169045, 0.11130050149153065]
[1.936362618685802, 0.11178417207834489]
[1.9357924940604312, 0.11226769146474873]
[1.935219748870893, 0.11275105886953282]
[1.934644381687447, 0.11323427350986723]
[1.9340663910726286, 0.11371733460129112]
[1.9334857755812302, 0.11420024135770236]
[1.9329025337602792, 0.11468299299134709]
[1.9323166641490168, 0.11516558871280924]
[1.931728165278876, 0.11564802773100008]
[1.9311370356734612, 0.1161303092531475]
[1.9305432738485246, 0.11661243248478549]
[1.9299468783119462, 0.11709439662974339]
[1.9293478475637111, 0.11757620089013514]
[1.9287461800958867, 0.11805784446634854]
[1.9281418743926007, 0.11853932655703439]
[1.9275349289300192, 0.11902064635909561]
[1.9269253421763237, 0.11950180306767626]
[1.9263131125916872, 0.11998279587615053]
[1.9256982386282537, 0.12046362397611167]
[1.9250807187301129, 0.1209442865573609]
[1.9244605513332775, 0.12142478280789624]
[1.9238377348656603, 0.12190511191390131]
[1.9232122677470507, 0.12238527305973396]
[1.92258414838909, 0.12286526542791498]
[1.9219533751952478, 0.12334508819911673]
[1.9213199465607995, 0.12382474055215159]
[1.9206838608728, 0.12430422166396055]
[1.920045116510061, 0.12478353070960155]
[1.919403711843125, 0.12526266686223791]
[1.9187596452342421, 0.1257416292931266]
[1.9181129150373437, 0.12622041717160648]
[1.9174635195980188, 0.12669902966508653]
[1.9168114572534876, 0.12717746593903392]
[1.916156726332578, 0.12765572515696202]
[1.9154993251556975, 0.12813380648041856]
[1.9148392520348099, 0.12861170906897346]
[1.9141765052734085, 0.12908943208020665]
[1.9135110831664894, 0.12956697466969602]
[1.9128429840005265, 0.13004433599100498]
[1.9121722060534443, 0.13052151519567032]
[1.9114987475945926, 0.13099851143318975]
[1.9108226068847183, 0.13147532385100943]
[1.9101437821759388, 0.13195195159451148]
[1.9094622717117158, 0.13242839380700133]
[1.9087780737268278, 0.13290464962969512]
[1.908091186447342, 0.13338071820170702]
[1.9074016080905871, 0.13385659866003635]
[1.9067093368651256, 0.13433229013955478]
[1.9060143709707267, 0.13480779177299332]
[1.905316708598336, 0.1352831026909295]
[1.9046163479300495, 0.13575822202177407]
[1.9039132871390834, 0.13623314889175797]
[1.903207524389746, 0.13670788242491919]
[1.9024990578374095, 0.13718242174308926]
